Stock,Producto,Nanomaterial,Precio
365,Ropa antimicrobiana,Nanopartículas de oro,36072
94,Apósitos,Nanopartículas de plata,317
366,Protector solar UV,Nanopartículas de oro,15017
49,Refuerzo en neumáticos,N/A,23372
79,Materiales aeronáuticos,Nanopartículas de plata,18054
485,Envases biodegradables,Nanopartículas de dióxido de titanio,19243
396,Tintas conductivas,Nanopartículas de sílice,14089
469,Refuerzo en neumáticos,Óxido de grafeno,33073
264,Ropa antimicrobiana,Nanocelulosa,49017
137,Envases biodegradables,Nanopartículas de sílice,39784
215,Baterías de iones de litio,N/A,21346
346,Refuerzo en neumáticos,Nanopartículas de dióxido de titanio,5832
195,Refuerzo en neumáticos,Nanopartículas de sílice,37447
458,Vendajes,N/A,22933
171,Fotocatalizador,Nanotubos de Carbono,17904
376,Baterías de iones de litio,N/A,1476
143,Refuerzo en neumáticos,Nanopartículas de sílice,17299
203,Materiales aeronáuticos,Nanopartículas de plata,48146
156,Protector solar UV,Nanopartículas de dióxido de titanio,25819
143,Baterías de iones de litio,Nanopartículas de oro,13867
374,Apósitos,Nanopartículas de plata,2030
41,Envases con alimentos antimicrobiana,Nanotubos de Carbono,3052
312,Envases biodegradables,Óxido de grafeno,31383
250,Tintas conductivas,Nanopartículas de oro,758
459,Vendajes,Nanopartículas de plata,20067
416,Envases biodegradables,N/A,15972
119,Refuerzo en neumáticos,Nanotubos de Carbono,31882
486,Paneles solares,Nanopartículas de sílice,18762
343,Refuerzo en neumáticos,Óxido de grafeno,27963
382,Ropa antimicrobiana,Nanopartículas de oro,38125
313,Baterías de iones de litio,Nanopartículas de oro,31277
185,Baterías de iones de litio,N/A,13620
342,Ropa antimicrobiana,Óxido de grafeno,10911
307,Pintura Automotriz,Nanocelulosa,11920
202,Envases biodegradables,Nanocelulosa,49089
4,Fotocatalizador,Óxido de grafeno,41143
145,Tintas conductivas,Nanotubos de Carbono,30778
97,Ropa antimicrobiana,Nanocelulosa,46264
390,Paneles solares,Nanopartículas de dióxido de titanio,37992
203,Baterías de iones de litio,Nanocelulosa,37092
389,Envases biodegradables,Nanopartículas de plata,32570
287,Pintura Automotriz,Nanopartículas de oro,2057
234,Materiales aeronáuticos,Óxido de grafeno,6192
449,Fotocatalizador,Nanopartículas de dióxido de titanio,25621
242,Tintas conductivas,Nanopartículas de oro,15830
237,Materiales aeronáuticos,Nanopartículas de sílice,806
180,Baterías de iones de litio,Nanopartículas de oro,453
341,Apósitos,Nanopartículas de sílice,45797
261,Vendajes,Nanopartículas de sílice,27499
407,Envases biodegradables,Nanopartículas de sílice,12255
20,Refuerzo en neumáticos,Nanotubos de Carbono,42817
